# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1685160790882000000,1685160807528000000,0
NonBlockingReadAction.finalizedExecutionsCount,1685160790882000000,1685160807528000000,6456
NonBlockingReadAction.failedExecutionTimeUs,1685160790882000000,1685160807528000000,0
StorageLockContext.competingThreads.max,1685160790882000000,1685160807528000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1685160790882000000,1685160807528000000,0
DirectByteBufferAllocator.reclaimed,1685160790882000000,1685160807528000000,117
FilePageCache.pageFastCacheHits,1685160790882000000,1685160807528000000,66280
DirectByteBufferAllocator.disposed,1685160790882000000,1685160807528000000,373
DirectByteBufferAllocator.misses,1685160790882000000,1685160807528000000,7
FilePageCache.pageHits,1685160790882000000,1685160807528000000,351
FilePageCache.maxCacheSizeInBytes,1685160790882000000,1685160807528000000,311746560
FilePageCache.pageLoads,1685160790882000000,1685160807528000000,43
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1685160790882000000,1685160807528000000,52756480
FilePageCache.totalPageDisposalsUs,1685160790882000000,1685160807528000000,124
DirectByteBufferAllocator.hits,1685160790882000000,1685160807528000000,36
FilePageCache.capacityInBytes,1685160790882000000,1685160807528000000,524288000
FilePageCache.totalPageLoadsUs,1685160790882000000,1685160807528000000,24979
FilePageCache.uncachedFileAccess,1685160790882000000,1685160807528000000,56
FilePageCache.disposedBuffers,1685160790882000000,1685160807528000000,490
StorageLockContext.competingThreads.avg,1685160790882000000,1685160807528000000,0.0
FilePageCache.maxRegisteredFiles,1685160790882000000,1685160807528000000,746
StorageLockContext.competingThreads.90P,1685160790882000000,1685160807528000000,0
FileNameCache.queries,1685160790882000000,1685160807528000000,4118343
FileNameCache.fastMisses,1685160790882000000,1685160807528000000,15620
FileNameCache.totalMisses,1685160790882000000,1685160807528000000,638
